"itemid","label","category","dbsource","valueuom"
150,"Dialysis Machine",NULL,"carevue",NULL
151,"Dialysis Site Appear",NULL,"carevue",NULL
152,"Dialysis Type",NULL,"carevue",NULL
153,"Diastolic Unloading",NULL,"carevue","%"
154,"Diet Type",NULL,"carevue",NULL
155,"Doppler BP",NULL,"carevue","mmHg"
156,"Dorsal PedPulse [Right]",NULL,"carevue",NULL
157,"ETT [Mark]",NULL,"carevue",NULL
158,"ETT Position Change",NULL,"carevue",NULL
159,"Ectopy Frequency",NULL,"carevue",NULL
160,"Ectopy Frequency 2",NULL,"carevue",NULL
161,"Ectopy Type",NULL,"carevue",NULL
162,"Ectopy Type 2",NULL,"carevue",NULL
163,"Edema #1 [Location]",NULL,"carevue",NULL
164,"Edema #2 [Location]",NULL,"carevue",NULL
165,"Education Barrier",NULL,"carevue",NULL
166,"Education Handout",NULL,"carevue",NULL
167,"Education Learner",NULL,"carevue",NULL
168,"Education Method",NULL,"carevue",NULL
169,"Education Readiness",NULL,"carevue",NULL
170,"Education Response",NULL,"carevue",NULL
171,"Education Topic #1",NULL,"carevue",NULL
172,"Education Topic #2",NULL,"carevue",NULL
173,"Effluent Press mmHg",NULL,"carevue","mmHg"
174,"Emesis [Appearance]",NULL,"carevue",NULL
175,"Energy Expenditure",NULL,"carevue",NULL
176,"Epi Infusion Rate",NULL,"carevue",NULL
177,"Epidural Appearance",NULL,"carevue",NULL
178,"Epidural Bolus",NULL,"carevue",NULL
179,"Epidural Location",NULL,"carevue",NULL
180,"Epidural Medication",NULL,"carevue",NULL
181,"Epidural Total Dose",NULL,"carevue",NULL
182,"Extubation Date",NULL,"carevue",NULL
183,"Eye Care",NULL,"carevue",NULL
184,"Eye Opening",NULL,"carevue",NULL
185,"FIO2 Alarm-High",NULL,"carevue","decFrc"
186,"FIO2 Alarm-Low",NULL,"carevue","decFrc"
187,"Family Communication",NULL,"carevue",NULL
188,"Femoral Pulse [Right]",NULL,"carevue",NULL
189,"FiO2 (Analyzed)",NULL,"carevue","torr"
190,"FiO2 Set",NULL,"carevue","torr"
191,"FiO2/O2 Delivered",NULL,"carevue","decFrc"
192,"Filter Pressure mmHg",NULL,"carevue","mmHg"
193,"Flatus",NULL,"carevue",NULL
194,"Flow-By (lpm)",NULL,"carevue","lpm"
195,"Flow-by Sensitivity",NULL,"carevue","cmH2O"
196,"Foley Care",NULL,"carevue",NULL
197,"Follows Commands",NULL,"carevue",NULL
198,"GCS Total",NULL,"carevue","points"
199,"GI [Guaiac]",NULL,"carevue",NULL
200,"GI Intub #1 [Type]",NULL,"carevue",NULL
201,"GI Intub #2 [Type]",NULL,"carevue",NULL
202,"GI#1 Tube PlaceCheck",NULL,"carevue",NULL
203,"GI#1 Tube [Status]",NULL,"carevue",NULL
204,"GI#2 Tube PlaceCheck",NULL,"carevue",NULL
205,"GI#2 Tube [Status]",NULL,"carevue",NULL
206,"GU Cath Insert Date",NULL,"carevue",NULL
207,"GU Catheter Size",NULL,"carevue",NULL
208,"Gag Reflex",NULL,"carevue",NULL
209,"Graft/Flap Pulse",NULL,"carevue",NULL
210,"HOB",NULL,"carevue",NULL
211,"Heart Rate",NULL,"carevue","bpm"
212,"Heart Rhythm",NULL,"carevue",NULL
213,"Heart Sounds",NULL,"carevue",NULL
216,"Height of Bed",NULL,"carevue",NULL
217,"Heparin Dose",NULL,"carevue","units"
218,"High Insp. Pressure",NULL,"carevue","cmH2O"
219,"High Resp. Rate",NULL,"carevue","BPM"
221,"I:E Ratio",NULL,"carevue",NULL
222,"I:E Ratio-Calculated",NULL,"carevue",NULL
223,"I:E Ratio-TCPCV",NULL,"carevue",NULL
224,"IABP Mean",NULL,"carevue","mmHg"
225,"IABP setting",NULL,"carevue",NULL
226,"ICP",NULL,"carevue","mmHg"
227,"INV Line#1 D/C Date",NULL,"carevue",NULL
228,"INV Line#1 Site Date",NULL,"carevue",NULL
229,"INV Line#1 [Type]",NULL,"carevue",NULL
230,"INV Line#1 Zero/Cal",NULL,"carevue",NULL
231,"INV Line#1InsertDate",NULL,"carevue",NULL
232,"INV Line#1SiteAppear",NULL,"carevue",NULL
233,"INV Line#2 D/C Date",NULL,"carevue",NULL
234,"INV Line#2 Site Date",NULL,"carevue",NULL
235,"INV Line#2 [Type]",NULL,"carevue",NULL
236,"INV Line#2 Zero/Cal",NULL,"carevue",NULL
237,"INV Line#2InsertDate",NULL,"carevue",NULL
238,"INV Line#2SiteAppear",NULL,"carevue",NULL
239,"INV Line#3 D/C Date",NULL,"carevue",NULL
240,"INV Line#3 Site Date",NULL,"carevue",NULL
241,"INV Line#3 [Type]",NULL,"carevue",NULL
242,"INV Line#3 Zero/Cal",NULL,"carevue",NULL
243,"INV Line#3InsertDate",NULL,"carevue",NULL
244,"INV Line#3SiteAppear",NULL,"carevue",NULL
245,"INV Line#4 D/C Date",NULL,"carevue",NULL
246,"INV Line#4 Site Date",NULL,"carevue",NULL
247,"INV Line#4 [Type]",NULL,"carevue",NULL
248,"INV Line#4 Zero/Cal",NULL,"carevue",NULL
249,"INV Line#4InsertDate",NULL,"carevue",NULL
250,"INV Line#4SiteAppear",NULL,"carevue",NULL
251,"INV Line#5 D/C Date",NULL,"carevue",NULL
252,"INV Line#5 Site Date",NULL,"carevue",NULL
253,"INV Line#5 [Type]",NULL,"carevue",NULL
254,"INV Line#5 Zero/Cal",NULL,"carevue",NULL
255,"INV Line#5InsertDate",NULL,"carevue",NULL
256,"INV Line#5SiteAppear",NULL,"carevue",NULL
257,"INV Line#6 D/C Date",NULL,"carevue",NULL
258,"INV Line#6 Site Date",NULL,"carevue",NULL
259,"INV Line#6 [Type]",NULL,"carevue",NULL
260,"INV Line#6 Zero/Cal",NULL,"carevue",NULL
261,"INV Line#6InsertDate",NULL,"carevue",NULL
262,"INV Line#6SiteAppear",NULL,"carevue",NULL
263,"INV Line#7 D/C Date",NULL,"carevue",NULL
264,"INV Line#7 Site Date",NULL,"carevue",NULL
265,"INV Line#7 [Type]",NULL,"carevue",NULL
266,"INV Line#7 Zero/Cal",NULL,"carevue",NULL
267,"INV Line#7InsertDate",NULL,"carevue",NULL
268,"INV Line#7SiteAppear",NULL,"carevue",NULL
269,"INV Line#8 D/C Date",NULL,"carevue",NULL
270,"INV Line#8 Site Date",NULL,"carevue",NULL
271,"INV Line#8 [Type]",NULL,"carevue",NULL
272,"INV Line#8 Zero/Cal",NULL,"carevue",NULL
273,"INV Line#8InsertDate",NULL,"carevue",NULL
274,"INV Line#8SiteAppear",NULL,"carevue",NULL
283,"INV#1 WaveformAppear",NULL,"carevue",NULL
284,"INV#2 WaveformAppear",NULL,"carevue",NULL
285,"INV#3 WaveformAppear",NULL,"carevue",NULL
286,"INV#4 WaveformAppear",NULL,"carevue",NULL
287,"INV#5 WaveformAppear",NULL,"carevue",NULL
288,"INV#6 WaveformAppear",NULL,"carevue",NULL
289,"INV#7 WaveformAppear",NULL,"carevue",NULL
290,"INV#8 WaveformAppear",NULL,"carevue",NULL
291,"IV #1 D/C Date",NULL,"carevue",NULL
292,"IV #1 Insert Date",NULL,"carevue",NULL
294,"IV #1 [Site]",NULL,"carevue",NULL
295,"IV #2 D/C Date",NULL,"carevue",NULL
296,"IV #2 Insert Date",NULL,"carevue",NULL
297,"IV #2 [Site]",NULL,"carevue",NULL
298,"IV #3 D/C Date",NULL,"carevue",NULL
299,"IV #3 Insert Date",NULL,"carevue",NULL
300,"IV #3 [Site]",NULL,"carevue",NULL
301,"IV #4 D/C Date",NULL,"carevue",NULL
302,"IV #4 Insert Date",NULL,"carevue",NULL
303,"IV #4 [Site]",NULL,"carevue",NULL
308,"IV Drip Dose #1",NULL,"carevue",NULL
309,"IV Drip Dose #2",NULL,"carevue",NULL
310,"IV Drip Medication#1",NULL,"carevue",NULL
311,"IV Drip Medication#2",NULL,"carevue",NULL
320,"IV Site #1",NULL,"carevue",NULL
321,"IV Site #2",NULL,"carevue",NULL
322,"IV Site #3",NULL,"carevue",NULL
323,"IV Site #4",NULL,"carevue",NULL
324,"IV Site Appear #1",NULL,"carevue",NULL
325,"IV Site Appear #2",NULL,"carevue",NULL
326,"IV Site Appear #3",NULL,"carevue",NULL
327,"IV Site Appear #4",NULL,"carevue",NULL
338,"Imp Skin Cleanse #1",NULL,"carevue",NULL
339,"Imp Skin Cleanse #2",NULL,"carevue",NULL
340,"Imp Skin Cleanse #3",NULL,"carevue",NULL
341,"Imp Skin Cleanse #4",NULL,"carevue",NULL
342,"Imp Skin Cleanse #5",NULL,"carevue",NULL
343,"Imp Skin Cleanse #6",NULL,"carevue",NULL
344,"ImpSkin Character #1",NULL,"carevue",NULL
345,"ImpSkin Character #2",NULL,"carevue",NULL
346,"ImpSkin Character #3",NULL,"carevue",NULL
347,"ImpSkin Character #4",NULL,"carevue",NULL
348,"ImpSkin Character #5",NULL,"carevue",NULL
349,"ImpSkin Character #6",NULL,"carevue",NULL
350,"ImpSkin #3 [Drain]",NULL,"carevue",NULL
351,"ImpSkin #6 [Drain]",NULL,"carevue",NULL
352,"ImpSkin #1 [Drain]",NULL,"carevue",NULL
353,"ImpSkin #2 [Drain]",NULL,"carevue",NULL
354,"ImpSkin #4 [Drain]",NULL,"carevue",NULL
355,"ImpSkin #5 [Drain]",NULL,"carevue",NULL
356,"ImpSkin Treatment #1",NULL,"carevue",NULL
357,"ImpSkin Treatment #2",NULL,"carevue",NULL
358,"ImpSkin Treatment #3",NULL,"carevue",NULL
359,"ImpSkin Treatment #4",NULL,"carevue",NULL
360,"ImpSkin Treatment #5",NULL,"carevue",NULL
361,"ImpSkin Treatment #6",NULL,"carevue",NULL
362,"ImpSkin Wound Base#1",NULL,"carevue",NULL
363,"ImpSkin Wound Base#2",NULL,"carevue",NULL
364,"ImpSkin Wound Base#3",NULL,"carevue",NULL
365,"ImpSkin Wound Base#4",NULL,"carevue",NULL
366,"ImpSkin Wound Base#5",NULL,"carevue",NULL
367,"ImpSkin Wound Base#6",NULL,"carevue",NULL
368,"ImpSkin #1 [Width]",NULL,"carevue",NULL
369,"ImpSkin #2 [Width]",NULL,"carevue",NULL
370,"ImpSkin #3 [Width]",NULL,"carevue",NULL
371,"ImpSkin #4 [Width]",NULL,"carevue",NULL
372,"ImpSkin #5 [Width]",NULL,"carevue",NULL
373,"ImpSkin #6 [Width]",NULL,"carevue",NULL
374,"Impaired Skin Site#1",NULL,"carevue",NULL
375,"Impaired Skin Site#2",NULL,"carevue",NULL
376,"Impaired Skin Site#3",NULL,"carevue",NULL
377,"Impaired Skin Site#4",NULL,"carevue",NULL
378,"Impaired Skin Site#5",NULL,"carevue",NULL
379,"Impaired Skin Site#6",NULL,"carevue",NULL
380,"Inc Cleansing #1",NULL,"carevue",NULL
381,"Inc Cleansing #2",NULL,"carevue",NULL
382,"Inc Cleansing #3",NULL,"carevue",NULL
383,"Inc Cleansing #4",NULL,"carevue",NULL
384,"Inc Cleansing #5",NULL,"carevue",NULL
385,"Inc Cleansing #6",NULL,"carevue",NULL
386,"Inc #1 [Closure]",NULL,"carevue",NULL
387,"Inc #2 [Closure]",NULL,"carevue",NULL
388,"Inc #3 [Closure]",NULL,"carevue",NULL
389,"Inc #4 [Closure]",NULL,"carevue",NULL
390,"Inc #5 [Closure]",NULL,"carevue",NULL
391,"Inc #6 [Closure]",NULL,"carevue",NULL
392,"Inc #1 [Drainage]",NULL,"carevue",NULL
393,"Inc #2 [Drainage]",NULL,"carevue",NULL
394,"Inc #3 [Drainage]",NULL,"carevue",NULL
395,"Inc #4 [Drainage]",NULL,"carevue",NULL
396,"Inc #5 [Drainage]",NULL,"carevue",NULL
397,"Inc #6 [Drainage]",NULL,"carevue",NULL
398,"Inc #1 [Dressing]",NULL,"carevue",NULL
399,"Inc #2 [Dressing]",NULL,"carevue",NULL
400,"Inc #3 [Dressing]",NULL,"carevue",NULL
401,"Inc #5 [Dressing]",NULL,"carevue",NULL
402,"Inc #6 [Dressing]",NULL,"carevue",NULL
403,"Inc #4 [Dressing]",NULL,"carevue",NULL
404,"Inc/Wound Packing #1",NULL,"carevue",NULL
405,"Inc/Wound Packing #2",NULL,"carevue",NULL
406,"Inc/Wound Packing #3",NULL,"carevue",NULL
407,"Inc/Wound Packing #4",NULL,"carevue",NULL
408,"Inc/Wound Packing #5",NULL,"carevue",NULL
409,"Inc/Wound Packing #6",NULL,"carevue",NULL
410,"Incentive Spirometry",NULL,"carevue",NULL
411,"Incision/Wound #1",NULL,"carevue",NULL
412,"Incision/Wound #2",NULL,"carevue",NULL
413,"Incision/Wound #3",NULL,"carevue",NULL
414,"Incision/Wound #4",NULL,"carevue",NULL
415,"Incision/Wound #5",NULL,"carevue",NULL
416,"Incision/Wound #6",NULL,"carevue",NULL
417,"Inspired Gas Temp",NULL,"carevue","Deg. C"
418,"Intubation Date",NULL,"carevue",NULL
419,"KneeImmobilizeLoc [Right]",NULL,"carevue",NULL
420,"LAP",NULL,"carevue","mmHg"
421,"LCW",NULL,"carevue","kg x m"
422,"LCWI",NULL,"carevue","..."
423,"LL Strength/Movement",NULL,"carevue",NULL
424,"LLE [Temp]",NULL,"carevue",NULL
425,"LLL Lung Sounds",NULL,"carevue",NULL
426,"LU Strength/Movement",NULL,"carevue",NULL
427,"LUE [Temp]",NULL,"carevue",NULL
428,"LUL Lung Sounds",NULL,"carevue",NULL
429,"LVAD Flow LPM",NULL,"carevue","L/min"
430,"LVSW",NULL,"carevue","g * m"
431,"LVSWI",NULL,"carevue","g*m/m2"
432,"Level of Conscious",NULL,"carevue",NULL
434,"Low Exhaled Min Vol",NULL,"carevue",NULL
435,"Low Exhaled Vt",NULL,"carevue",NULL
436,"Low Insp. Pressure",NULL,"carevue","cmH2O"
437,"Low Peep",NULL,"carevue",NULL
438,"MAP",NULL,"carevue","mmHg"
439,"MDI #1 [Puff]",NULL,"carevue",NULL
440,"MDI #2 [Puff]",NULL,"carevue",NULL
441,"MDI #3 [Puff]",NULL,"carevue",NULL
442,"Manual BP [Systolic]",NULL,"carevue","mmHg"
443,"Manual BP Mean(calc)",NULL,"carevue","mmHg"
444,"Mean Airway Pressure",NULL,"carevue","cmH2O"
445,"Mech. Minute Volume",NULL,"carevue","L/min"
446,"Micro-Neb Treatment",NULL,"carevue",NULL
447,"Minimal Leak Present",NULL,"carevue",NULL
448,"Minute Volume",NULL,"carevue","L/min"
449,"Minute Volume (Set)",NULL,"carevue","L/min"
450,"Minute Volume(Obser)",NULL,"carevue","L/min"
453,"Motor Deficits",NULL,"carevue",NULL
454,"Motor Response",NULL,"carevue",NULL
455,"NBP [Systolic]",NULL,"carevue","mmHg"
456,"NBP Mean",NULL,"carevue","mmHg"
457,"NMB Medication",NULL,"carevue",NULL
458,"Nares [Right]",NULL,"carevue",NULL
459,"Neg Insp Force(>-25)",NULL,"carevue","."
460,"Nerve Stimulated",NULL,"carevue",NULL
461,"Neuro Drain Drainage",NULL,"carevue",NULL
462,"Neuro Drain [Level]",NULL,"carevue",NULL
463,"Neuro Drain Status",NULL,"carevue",NULL
464,"Neuro Drain Type",NULL,"carevue",NULL
465,"Neuro Symptoms",NULL,"carevue",NULL
466,"Nursing Consultation",NULL,"carevue",NULL
467,"O2 Delivery Device",NULL,"carevue",NULL
468,"O2 Delivery Device#2",NULL,"carevue",NULL
469,"O2 Delivery Mode",NULL,"carevue",NULL
470,"O2 Flow (lpm)",NULL,"carevue","lpm"
471,"O2 Flow (lpm) #2",NULL,"carevue","lpm"
472,"O2AV",NULL,"carevue","ml/min"
473,"O2AVI",NULL,"carevue","ml/m/m"
474,"O2ER",NULL,"carevue","decFrc"
477,"Oral Care",NULL,"carevue",NULL
478,"Oral Cavity",NULL,"carevue",NULL
479,"Orientation",NULL,"carevue",NULL
480,"Orthostat BP sitting [Systolic]",NULL,"carevue","mmHg"
481,"Orthostat HR sitting",NULL,"carevue","BPM"
482,"OrthostatBP standing [Systolic]",NULL,"carevue","mmHg"
483,"OrthostatHR standing",NULL,"carevue","BPM"
484,"Orthostatic BP lying [Systolic]",NULL,"carevue","mmHg"
485,"Orthostatic HR lying",NULL,"carevue","BPM"
486,"Ostomy Care",NULL,"carevue",NULL
487,"Ostomy [Type]",NULL,"carevue",NULL
490,"PAO2",NULL,"carevue","mmHg"
491,"PAP Mean",NULL,"carevue","mmHg"
492,"PAP [Systolic]",NULL,"carevue","mmHg"
493,"PCA 1 Hr Limit (mg)",NULL,"carevue",NULL
494,"PCA Basal Rate",NULL,"carevue",NULL
495,"PCA Bolus",NULL,"carevue",NULL
496,"PCA Dose",NULL,"carevue",NULL
497,"Patient controlled analgesia (PCA) [Inject]",NULL,"carevue",NULL
498,"PCA Lockout (Min)",NULL,"carevue",NULL
499,"PCA Medication",NULL,"carevue",NULL
500,"PCA Total Dose",NULL,"carevue",NULL
501,"PCV Exh Vt (Obser)",NULL,"carevue","ml/B"
502,"PCV Insp Vt (Obser)",NULL,"carevue","ml/B"
503,"PCV Set Insp. Press",NULL,"carevue","."
504,"PCWP",NULL,"carevue","mmHg"
505,"PEEP",NULL,"carevue","cmH20"
506,"PEEP Set",NULL,"carevue","cmH2O"
507,"PIP",NULL,"carevue","cmH20"
508,"PT Splint #1 [Location]",NULL,"carevue",NULL
509,"PT Splint #2 [Location]",NULL,"carevue",NULL
510,"PT Splint #3 [Location]",NULL,"carevue",NULL
511,"PT Splint #4 [Location]",NULL,"carevue",NULL
512,"PVR",NULL,"carevue","..."
513,"PVRI",NULL,"carevue","..."
515,"Pacemaker Mode",NULL,"carevue",NULL
516,"Pacemaker Type",NULL,"carevue",NULL
517,"Pacer Rate",NULL,"carevue","BPM"
518,"Pacer Wire Condition",NULL,"carevue",NULL
519,"Pacer Wires Atrial",NULL,"carevue",NULL
520,"Pacer Wires Ground",NULL,"carevue",NULL
521,"Pacer Wires Vent",NULL,"carevue",NULL
522,"Pain Cause",NULL,"carevue",NULL
523,"Pain Level (Movemnt)",NULL,"carevue",NULL
524,"Pain Level (Rest)",NULL,"carevue",NULL
525,"Pain Location",NULL,"carevue",NULL
526,"Pain Management [Route/Status #1]",NULL,"carevue",NULL
527,"Pain Type",NULL,"carevue",NULL
529,"Pause Time %",NULL,"carevue",NULL
530,"Peak Flow",NULL,"carevue","L/m"
531,"Peak Flow % (pred)",NULL,"carevue","%"
532,"Peak Flow (Calc)",NULL,"carevue","lpm"
533,"Peak Flow (Pred)",NULL,"carevue","L/m"
534,"Peak Flow (actual)",NULL,"carevue","L/m"
535,"Peak Insp. Pressure",NULL,"carevue","cmH2O"
536,"Peri Care",NULL,"carevue",NULL
537,"Pericard Drain Site",NULL,"carevue",NULL
538,"Pericard Drain Stat",NULL,"carevue",NULL
539,"Pericardial Drainage",NULL,"carevue",NULL
541,"PetCO2/TcCO2",NULL,"carevue","mmHg"
542,"Pin Care",NULL,"carevue",NULL
543,"Plateau Pressure",NULL,"carevue","cmH2O"
544,"Plateau Time (7200)",NULL,"carevue",NULL
545,"Plateau-Off",NULL,"carevue",NULL
546,"Popliteal Pulse [Right]",NULL,"carevue",NULL
547,"Position",NULL,"carevue",NULL
548,"Position Change",NULL,"carevue",NULL
549,"PostTib. Pulses [Right]",NULL,"carevue",NULL
550,"Precautions",NULL,"carevue",NULL
551,"Pressure Sore #1 [Stage]",NULL,"carevue",NULL
552,"Pressure Sore #2 [Stage]",NULL,"carevue",NULL
553,"Pressure Sore #3 [Stage]",NULL,"carevue",NULL
554,"Press Sore Site #2",NULL,"carevue",NULL
555,"PressSore Depth #1",NULL,"carevue",NULL
556,"PressSore Depth #2",NULL,"carevue",NULL
557,"PressSore Depth #3",NULL,"carevue",NULL
558,"Pressure Sore #1 [Drainage]",NULL,"carevue",NULL
559,"Pressure Sore #2 [Drainage]",NULL,"carevue",NULL
560,"Pressure Sore #3 [Drainage]",NULL,"carevue",NULL
561,"Pressure Sore #1 [Width]",NULL,"carevue",NULL
562,"Pressure Sore #2 [Width]",NULL,"carevue",NULL
563,"Pressure Sore #3 [Width]",NULL,"carevue",NULL
564,"PressSoreCleansing#1",NULL,"carevue",NULL
565,"PressSoreCleansing#2",NULL,"carevue",NULL
566,"PressSoreCleansing#3",NULL,"carevue",NULL
567,"PressSoreTreatment#1",NULL,"carevue",NULL
568,"PressSoreTreatment#2",NULL,"carevue",NULL
569,"PressSoreTreatment#3",NULL,"carevue",NULL
570,"PressSoreWoundBase#1",NULL,"carevue",NULL
571,"PressSoreWoundBase#2",NULL,"carevue",NULL
572,"PressSoreWoundBase#3",NULL,"carevue",NULL
573,"Pressure Sore Odor#1",NULL,"carevue",NULL
574,"Pressure Sore Odor#2",NULL,"carevue",NULL
575,"Pressure Sore Odor#3",NULL,"carevue",NULL
576,"Pressure Sore Site#1",NULL,"carevue",NULL
577,"Pressure Sore Site#3",NULL,"carevue",NULL
578,"Pressure Support",NULL,"carevue","."
579,"PressureReduceDevice",NULL,"carevue",NULL
580,"Previous Weight",NULL,"carevue","kg"
581,"Previous WeightF",NULL,"carevue","kg"
582,"Procedures",NULL,"carevue",NULL
583,"Pulses Paradoxus",NULL,"carevue","mmHg"
584,"Pupil Response [Right]",NULL,"carevue",NULL
585,"Pupil Size [Right]",NULL,"carevue",NULL
586,"QTc",NULL,"carevue","sec"
587,"Qs/Qt",NULL,"carevue","%"
