itemid,label,category,dbsource,valueuom
186,FIO2 Alarm-Low,,carevue,decFrc
187,Family Communication,,carevue,
188,Femoral Pulse [Right],,carevue,
189,FiO2 (Analyzed),,carevue,torr
190,FiO2 Set,,carevue,torr
191,FiO2/O2 Delivered,,carevue,decFrc
192,Filter Pressure mmHg,,carevue,mmHg
193,Flatus,,carevue,
194,Flow-By (lpm),,carevue,lpm
195,Flow-by Sensitivity,,carevue,cmH2O
196,Foley Care,,carevue,
197,Follows Commands,,carevue,
198,GCS Total,,carevue,points
199,GI [Guaiac],,carevue,
200,GI Intub #1 [Type],,carevue,
201,GI Intub #2 [Type],,carevue,
202,GI#1 Tube PlaceCheck,,carevue,
203,GI#1 Tube [Status],,carevue,
204,GI#2 Tube PlaceCheck,,carevue,
205,GI#2 Tube [Status],,carevue,
206,GU Cath Insert Date,,carevue,
207,GU Catheter Size,,carevue,
208,Gag Reflex,,carevue,
209,Graft/Flap Pulse,,carevue,
210,HOB,,carevue,
211,Heart Rate,,carevue,bpm
212,Heart Rhythm,,carevue,
213,Heart Sounds,,carevue,
216,Height of Bed,,carevue,
217,Heparin Dose,,carevue,units
218,High Insp. Pressure,,carevue,cmH2O
219,High Resp. Rate,,carevue,BPM
221,I:E Ratio,,carevue,
222,I:E Ratio-Calculated,,carevue,
223,I:E Ratio-TCPCV,,carevue,
224,IABP Mean,,carevue,mmHg
225,IABP setting,,carevue,
226,ICP,,carevue,mmHg
227,INV Line#1 D/C Date,,carevue,
228,INV Line#1 Site Date,,carevue,
229,INV Line#1 [Type],,carevue,
230,INV Line#1 Zero/Cal,,carevue,
231,INV Line#1InsertDate,,carevue,
232,INV Line#1SiteAppear,,carevue,
233,INV Line#2 D/C Date,,carevue,
234,INV Line#2 Site Date,,carevue,
235,INV Line#2 [Type],,carevue,
236,INV Line#2 Zero/Cal,,carevue,
237,INV Line#2InsertDate,,carevue,
238,INV Line#2SiteAppear,,carevue,
239,INV Line#3 D/C Date,,carevue,
240,INV Line#3 Site Date,,carevue,
241,INV Line#3 [Type],,carevue,
242,INV Line#3 Zero/Cal,,carevue,
243,INV Line#3InsertDate,,carevue,
244,INV Line#3SiteAppear,,carevue,
245,INV Line#4 D/C Date,,carevue,
246,INV Line#4 Site Date,,carevue,
247,INV Line#4 [Type],,carevue,
248,INV Line#4 Zero/Cal,,carevue,
249,INV Line#4InsertDate,,carevue,
250,INV Line#4SiteAppear,,carevue,
251,INV Line#5 D/C Date,,carevue,
252,INV Line#5 Site Date,,carevue,
253,INV Line#5 [Type],,carevue,
254,INV Line#5 Zero/Cal,,carevue,
255,INV Line#5InsertDate,,carevue,
256,INV Line#5SiteAppear,,carevue,
257,INV Line#6 D/C Date,,carevue,
258,INV Line#6 Site Date,,carevue,
259,INV Line#6 [Type],,carevue,
260,INV Line#6 Zero/Cal,,carevue,
261,INV Line#6InsertDate,,carevue,
262,INV Line#6SiteAppear,,carevue,
263,INV Line#7 D/C Date,,carevue,
264,INV Line#7 Site Date,,carevue,
265,INV Line#7 [Type],,carevue,
266,INV Line#7 Zero/Cal,,carevue,
267,INV Line#7InsertDate,,carevue,
268,INV Line#7SiteAppear,,carevue,
269,INV Line#8 D/C Date,,carevue,
270,INV Line#8 Site Date,,carevue,
271,INV Line#8 [Type],,carevue,
272,INV Line#8 Zero/Cal,,carevue,
273,INV Line#8InsertDate,,carevue,
274,INV Line#8SiteAppear,,carevue,
283,INV#1 WaveformAppear,,carevue,
284,INV#2 WaveformAppear,,carevue,
285,INV#3 WaveformAppear,,carevue,
286,INV#4 WaveformAppear,,carevue,
287,INV#5 WaveformAppear,,carevue,
288,INV#6 WaveformAppear,,carevue,
289,INV#7 WaveformAppear,,carevue,
290,INV#8 WaveformAppear,,carevue,
291,IV #1 D/C Date,,carevue,
292,IV #1 Insert Date,,carevue,
294,IV #1 [Site],,carevue,
295,IV #2 D/C Date,,carevue,
296,IV #2 Insert Date,,carevue,
297,IV #2 [Site],,carevue,
298,IV #3 D/C Date,,carevue,
299,IV #3 Insert Date,,carevue,
300,IV #3 [Site],,carevue,
301,IV #4 D/C Date,,carevue,
302,IV #4 Insert Date,,carevue,
303,IV #4 [Site],,carevue,
308,IV Drip Dose #1,,carevue,
309,IV Drip Dose #2,,carevue,
310,IV Drip Medication#1,,carevue,
311,IV Drip Medication#2,,carevue,
320,IV Site #1,,carevue,
321,IV Site #2,,carevue,
322,IV Site #3,,carevue,
323,IV Site #4,,carevue,
324,IV Site Appear #1,,carevue,
325,IV Site Appear #2,,carevue,
326,IV Site Appear #3,,carevue,
327,IV Site Appear #4,,carevue,
338,Imp Skin Cleanse #1,,carevue,
339,Imp Skin Cleanse #2,,carevue,
340,Imp Skin Cleanse #3,,carevue,
341,Imp Skin Cleanse #4,,carevue,
342,Imp Skin Cleanse #5,,carevue,
343,Imp Skin Cleanse #6,,carevue,
344,ImpSkin Character #1,,carevue,
345,ImpSkin Character #2,,carevue,
346,ImpSkin Character #3,,carevue,
347,ImpSkin Character #4,,carevue,
348,ImpSkin Character #5,,carevue,
349,ImpSkin Character #6,,carevue,
350,ImpSkin #3 [Drain],,carevue,
351,ImpSkin #6 [Drain],,carevue,
352,ImpSkin #1 [Drain],,carevue,
353,ImpSkin #2 [Drain],,carevue,
354,ImpSkin #4 [Drain],,carevue,
355,ImpSkin #5 [Drain],,carevue,
356,ImpSkin Treatment #1,,carevue,
357,ImpSkin Treatment #2,,carevue,
358,ImpSkin Treatment #3,,carevue,
359,ImpSkin Treatment #4,,carevue,
360,ImpSkin Treatment #5,,carevue,
361,ImpSkin Treatment #6,,carevue,
362,ImpSkin Wound Base#1,,carevue,
363,ImpSkin Wound Base#2,,carevue,
364,ImpSkin Wound Base#3,,carevue,
365,ImpSkin Wound Base#4,,carevue,
366,ImpSkin Wound Base#5,,carevue,
367,ImpSkin Wound Base#6,,carevue,
368,ImpSkin #1 [Width],,carevue,
369,ImpSkin #2 [Width],,carevue,
370,ImpSkin #3 [Width],,carevue,
371,ImpSkin #4 [Width],,carevue,
372,ImpSkin #5 [Width],,carevue,
373,ImpSkin #6 [Width],,carevue,
374,Impaired Skin Site#1,,carevue,
375,Impaired Skin Site#2,,carevue,
376,Impaired Skin Site#3,,carevue,
377,Impaired Skin Site#4,,carevue,
378,Impaired Skin Site#5,,carevue,
379,Impaired Skin Site#6,,carevue,
380,Inc Cleansing #1,,carevue,
381,Inc Cleansing #2,,carevue,
382,Inc Cleansing #3,,carevue,
383,Inc Cleansing #4,,carevue,
384,Inc Cleansing #5,,carevue,
385,Inc Cleansing #6,,carevue,
386,Inc #1 [Closure],,carevue,
387,Inc #2 [Closure],,carevue,
388,Inc #3 [Closure],,carevue,
389,Inc #4 [Closure],,carevue,
390,Inc #5 [Closure],,carevue,
391,Inc #6 [Closure],,carevue,
392,Inc #1 [Drainage],,carevue,
393,Inc #2 [Drainage],,carevue,
394,Inc #3 [Drainage],,carevue,
395,Inc #4 [Drainage],,carevue,
396,Inc #5 [Drainage],,carevue,
397,Inc #6 [Drainage],,carevue,
398,Inc #1 [Dressing],,carevue,
399,Inc #2 [Dressing],,carevue,
400,Inc #3 [Dressing],,carevue,
401,Inc #5 [Dressing],,carevue,
402,Inc #6 [Dressing],,carevue,
403,Inc #4 [Dressing],,carevue,
404,Inc/Wound Packing #1,,carevue,
405,Inc/Wound Packing #2,,carevue,
406,Inc/Wound Packing #3,,carevue,
407,Inc/Wound Packing #4,,carevue,
408,Inc/Wound Packing #5,,carevue,
409,Inc/Wound Packing #6,,carevue,
410,Incentive Spirometry,,carevue,
411,Incision/Wound #1,,carevue,
412,Incision/Wound #2,,carevue,
413,Incision/Wound #3,,carevue,
414,Incision/Wound #4,,carevue,
415,Incision/Wound #5,,carevue,
416,Incision/Wound #6,,carevue,
417,Inspired Gas Temp,,carevue,Deg. C
418,Intubation Date,,carevue,
419,KneeImmobilizeLoc [Right],,carevue,
420,LAP,,carevue,mmHg
421,LCW,,carevue,kg x m
422,LCWI,,carevue,...
423,LL Strength/Movement,,carevue,
424,LLE [Temp],,carevue,
425,LLL Lung Sounds,,carevue,
426,LU Strength/Movement,,carevue,
427,LUE [Temp],,carevue,
428,LUL Lung Sounds,,carevue,
429,LVAD Flow LPM,,carevue,L/min
430,LVSW,,carevue,g * m
431,LVSWI,,carevue,g*m/m2
432,Level of Conscious,,carevue,
434,Low Exhaled Min Vol,,carevue,
435,Low Exhaled Vt,,carevue,
436,Low Insp. Pressure,,carevue,cmH2O
437,Low Peep,,carevue,
438,MAP,,carevue,mmHg
439,MDI #1 [Puff],,carevue,
440,MDI #2 [Puff],,carevue,
441,MDI #3 [Puff],,carevue,
442,Manual BP [Systolic],,carevue,mmHg
443,Manual BP Mean(calc),,carevue,mmHg
444,Mean Airway Pressure,,carevue,cmH2O
445,Mech. Minute Volume,,carevue,L/min
446,Micro-Neb Treatment,,carevue,
447,Minimal Leak Present,,carevue,
448,Minute Volume,,carevue,L/min
449,Minute Volume (Set),,carevue,L/min
450,Minute Volume(Obser),,carevue,L/min
453,Motor Deficits,,carevue,
454,Motor Response,,carevue,
455,NBP [Systolic],,carevue,mmHg
456,NBP Mean,,carevue,mmHg
457,NMB Medication,,carevue,
458,Nares [Right],,carevue,
459,Neg Insp Force(>-25),,carevue,.
460,Nerve Stimulated,,carevue,
461,Neuro Drain Drainage,,carevue,
462,Neuro Drain [Level],,carevue,
463,Neuro Drain Status,,carevue,
464,Neuro Drain Type,,carevue,
465,Neuro Symptoms,,carevue,
466,Nursing Consultation,,carevue,
467,O2 Delivery Device,,carevue,
468,O2 Delivery Device#2,,carevue,
469,O2 Delivery Mode,,carevue,
470,O2 Flow (lpm),,carevue,lpm
471,O2 Flow (lpm) #2,,carevue,lpm
472,O2AV,,carevue,ml/min
473,O2AVI,,carevue,ml/m/m
474,O2ER,,carevue,decFrc
477,Oral Care,,carevue,
478,Oral Cavity,,carevue,
479,Orientation,,carevue,
480,Orthostat BP sitting [Systolic],,carevue,mmHg
481,Orthostat HR sitting,,carevue,BPM
482,OrthostatBP standing [Systolic],,carevue,mmHg
483,OrthostatHR standing,,carevue,BPM
484,Orthostatic BP lying [Systolic],,carevue,mmHg
485,Orthostatic HR lying,,carevue,BPM
486,Ostomy Care,,carevue,
487,Ostomy [Type],,carevue,
490,PAO2,,carevue,mmHg
491,PAP Mean,,carevue,mmHg
492,PAP [Systolic],,carevue,mmHg
493,PCA 1 Hr Limit (mg),,carevue,
494,PCA Basal Rate,,carevue,
495,PCA Bolus,,carevue,
496,PCA Dose,,carevue,
497,Patient controlled analgesia (PCA) [Inject],,carevue,
498,PCA Lockout (Min),,carevue,
499,PCA Medication,,carevue,
500,PCA Total Dose,,carevue,
501,PCV Exh Vt (Obser),,carevue,ml/B
502,PCV Insp Vt (Obser),,carevue,ml/B
503,PCV Set Insp. Press,,carevue,.
504,PCWP,,carevue,mmHg
505,PEEP,,carevue,cmH20
506,PEEP Set,,carevue,cmH2O
507,PIP,,carevue,cmH20
508,PT Splint #1 [Location],,carevue,
509,PT Splint #2 [Location],,carevue,
510,PT Splint #3 [Location],,carevue,
511,PT Splint #4 [Location],,carevue,
512,PVR,,carevue,...
513,PVRI,,carevue,...
515,Pacemaker Mode,,carevue,
516,Pacemaker Type,,carevue,
517,Pacer Rate,,carevue,BPM
518,Pacer Wire Condition,,carevue,
519,Pacer Wires Atrial,,carevue,
520,Pacer Wires Ground,,carevue,
521,Pacer Wires Vent,,carevue,
522,Pain Cause,,carevue,
523,Pain Level (Movemnt),,carevue,
524,Pain Level (Rest),,carevue,
525,Pain Location,,carevue,
526,Pain Management [Route/Status #1],,carevue,
527,Pain Type,,carevue,
529,Pause Time %,,carevue,
530,Peak Flow,,carevue,L/m
531,Peak Flow % (pred),,carevue,%
532,Peak Flow (Calc),,carevue,lpm
533,Peak Flow (Pred),,carevue,L/m
534,Peak Flow (actual),,carevue,L/m
535,Peak Insp. Pressure,,carevue,cmH2O
536,Peri Care,,carevue,
537,Pericard Drain Site,,carevue,
538,Pericard Drain Stat,,carevue,
539,Pericardial Drainage,,carevue,
541,PetCO2/TcCO2,,carevue,mmHg
542,Pin Care,,carevue,
543,Plateau Pressure,,carevue,cmH2O
544,Plateau Time (7200),,carevue,
545,Plateau-Off,,carevue,
546,Popliteal Pulse [Right],,carevue,
547,Position,,carevue,
548,Position Change,,carevue,
549,PostTib. Pulses [Right],,carevue,
550,Precautions,,carevue,
551,Pressure Sore #1 [Stage],,carevue,
552,Pressure Sore #2 [Stage],,carevue,
553,Pressure Sore #3 [Stage],,carevue,
554,Press Sore Site #2,,carevue,
555,PressSore Depth #1,,carevue,
556,PressSore Depth #2,,carevue,
557,PressSore Depth #3,,carevue,
558,Pressure Sore #1 [Drainage],,carevue,
559,Pressure Sore #2 [Drainage],,carevue,
560,Pressure Sore #3 [Drainage],,carevue,
561,Pressure Sore #1 [Width],,carevue,
562,Pressure Sore #2 [Width],,carevue,
563,Pressure Sore #3 [Width],,carevue,
564,PressSoreCleansing#1,,carevue,
565,PressSoreCleansing#2,,carevue,
566,PressSoreCleansing#3,,carevue,
567,PressSoreTreatment#1,,carevue,
568,PressSoreTreatment#2,,carevue,
569,PressSoreTreatment#3,,carevue,
570,PressSoreWoundBase#1,,carevue,
571,PressSoreWoundBase#2,,carevue,
572,PressSoreWoundBase#3,,carevue,
573,Pressure Sore Odor#1,,carevue,
574,Pressure Sore Odor#2,,carevue,
575,Pressure Sore Odor#3,,carevue,
576,Pressure Sore Site#1,,carevue,
577,Pressure Sore Site#3,,carevue,
578,Pressure Support,,carevue,.
579,PressureReduceDevice,,carevue,
580,Previous Weight,,carevue,kg
581,Previous WeightF,,carevue,kg
582,Procedures,,carevue,
583,Pulses Paradoxus,,carevue,mmHg
584,Pupil Response [Right],,carevue,
585,Pupil Size [Right],,carevue,
586,QTc,,carevue,sec
587,Qs/Qt,,carevue,%
588,RCW,,carevue,kg * m
589,RCWI,,carevue,...
590,RL Strength/Movement,,carevue,
591,RLE [Temperature],,carevue,
592,RLE [Sensation],,carevue,
593,RLL Lung Sounds,,carevue,
594,ROM [Type],,carevue,
595,RSBI (<200),,carevue,units
596,RU Strength/Movement,,carevue,
597,RUE [Temperature],,carevue,
598,RUE [Sensation],,carevue,
599,RUL Lung Sounds,,carevue,
600,RVAD Flow LPM,,carevue,L/min
601,RVSW,,carevue,g * m
602,RVSWI,,carevue,g*m/m2
603,Radial Pulse [Right],,carevue,
604,Radiologic Study,,carevue,
605,Reason For Restraint,,carevue,
606,Rec. Breath Pressure,,carevue,
607,Rec.Breath Time(sec),,carevue,
608,Recruit Breath,,carevue,
609,Remote Alarm,,carevue,
610,Removed x 5 Mins,,carevue,
611,Replace Rate ml/hr,,carevue,ml/hr
612,Replace.Fluid Infuse,,carevue,
613,Resp Quotient - (R),,carevue,
614,Resp Rate (Spont),,carevue,BPM
615,Resp Rate (Total),,carevue,BPM
616,Respiratory Effort,,carevue,
617,Respiratory Pattern,,carevue,
618,Respiratory Rate,,carevue,BPM
619,Respiratory Rate Set,,carevue,BPM
620,Responds to Stimuli [Type],,carevue,
621,Restraint Location,,carevue,
622,Restraint Type,,carevue,
623,Restraints Evaluated,,carevue,
624,Return Pressure mmHg,,carevue,mmHg
625,SVI,,carevue,...
626,SVR,,carevue,...
627,SVRI,,carevue,...
628,Sedation Score,,carevue,
629,Seizure Activity,,carevue,
630,Seizure Duration,,carevue,
631,Sensitivity-Vent,,carevue,cmH2O
632,Sensory Level,,carevue,
637,Side Rails,,carevue,
638,Sigh Rate,,carevue,BPM
639,Sigh Tidal Volume,,carevue,V-mA
640,Significant Events,,carevue,
641,Sitter,,carevue,
642,Skin Care,,carevue,
643,Skin Color,,carevue,
644,Skin Integrity,,carevue,
645,Skin [Temperature],,carevue,
646,SpO2,,carevue,%
647,Spare Trach Present,,carevue,
648,Speech,,carevue,
649,Spiritual Support,,carevue,
650,Spon Minute VE L/min,,carevue,cmH2O
651,Spon RR (Mech.),,carevue,BPM
652,Spon. Vt (L) (Mech.),,carevue,L
653,Spont. Resp. Rate,,carevue,BPM
654,Spont. Tidal Volume,,carevue,ml/B
655,Spontaneous Movement,,carevue,
656,Sputum [Color],,carevue,
657,Sputum Source,,carevue,
659,Stool [Color],,carevue,
660,Stool Guaiac,,carevue,
661,Stool Management,,carevue,
662,Stroke Volume,,carevue,ml
663,Support Systems,,carevue,
664,Swan SVO2,,carevue,%
665,System Integrity,,carevue,
666,Systolic Unloading,,carevue,%
667,TCPCV Apnea Settings,,carevue,
668,TCPCV Fixed I Time,,carevue,
669,TCPCV I:E Ratio,,carevue,
670,TCPCV Insp. Pressure,,carevue,cmH2O
671,TCPCV Insp. Time,,carevue,sec
672,TCPCV-MAP,,carevue,
673,TOF Response/Twitch,,carevue,
674,Temp. Site,,carevue,
676,Temperature C,,carevue,Deg. C
677,Temperature C (calc),,carevue,Deg. C
678,Temperature F,,carevue,Deg. F
679,Temperature F (calc),,carevue,Deg. F
680,Therapeutic Bed,,carevue,
681,Tidal Volume,,carevue,ml/B
682,Tidal Volume (Obser),,carevue,ml/B
683,Tidal Volume (Set),,carevue,ml/B
684,Tidal Volume (Spont),,carevue,ml/B
686,Total PEEP Level,,carevue,cmH2O
687,Trach Care,,carevue,
688,Trach [Cuff],,carevue,
689,Trach Date,,carevue,
690,Trach Size,,carevue,
691,Tracheostomy Cuff,,carevue,
692,Tracheostomy Type,,carevue,
693,Tract/Imm Location#1,,carevue,
694,Tract/Imm Location#2,,carevue,
695,Tract/Imm Location#3,,carevue,
696,Tract/Imm Location#4,,carevue,
697,Traction/Immobile #1,,carevue,
698,Traction/Immobile #2,,carevue,
699,Traction/Immobile #3,,carevue,
700,Traction/Immobile #4,,carevue,
701,Transcut Pacer Rate,,carevue,BPM
702,Transcut Pad Place,,carevue,
703,Transcutan Pacer,,carevue,
704,Turn,,carevue,
705,Untoward Effect,,carevue,
706,Urine [Color],,carevue,
707,Urine Source,,carevue,
708,VAD Beat Rate [Right],,carevue,%
709,VCO2 (180-200),,carevue,
710,VEN Lumen Volume,,carevue,
711,VO2,,carevue,ml/min
712,VO2 (200-250),,carevue,ml/min
713,VO2I,,carevue,...
715,Vd/Vt Ratio (40-60%),,carevue,decFrc
716,Venous Pressure,,carevue,mmHg
717,Ventricular Pacemaker [Sense],,carevue,
718,Ventricular Pacemaker Threshold [Unit],,carevue,
719,Ventricular Pacemaker [mA],,carevue,
720,Ventilator Mode,,carevue,
721,Ventilator No.,,carevue,#
722,Ventilator Type,,carevue,
723,Verbal Response,,carevue,
724,Vision - EPAP,,carevue,cmH2O
725,Vision - IPAP,,carevue,cmH2O
726,Vision - Mode,,carevue,
727,Vision FiO2,,carevue,decFrc
728,Vision Mask,,carevue,
729,Vision Rate,,carevue,
730,Vital Cap (>1.0)L,,carevue,liters
731,Warming [Device],,carevue,
732,Waveform-Vent,,carevue,
733,Weight Change,,carevue,kg
734,Working Pressure,,carevue,cmH2O
735,Wound Care,,carevue,
741,avDO2,,carevue,ml/dl
742,calprevflg,,carevue,kg
762,Admit Wt,,carevue,kg
763,Daily Weight,,carevue,kg
768,ACT (102-142),Coags,carevue,
769,ALT,Enzymes,carevue,
770,AST,Enzymes,carevue,
772,Albumin (>3.2),Chemistry,carevue,
773,Alk. Phosphate,Enzymes,carevue,
774,Ammonia,Chemistry,carevue,
775,Amylase,Enzymes,carevue,
776,Arterial Base Excess,ABG,carevue,
777,Arterial CO2(Calc),ABG,carevue,
778,Arterial PaCO2,ABG,carevue,mmHg
779,Arterial PaO2,ABG,carevue,mmHg
780,Arterial pH,ABG,carevue,
781,BUN (6-20),Chemistry,carevue,
782,Bleeding Time,Coags,carevue,sec
783,Blood Products,Hematology,carevue,
784,CPK,Enzymes,carevue,
785,CPK/MB,Enzymes,carevue,
786,Calcium (8.4-10.2),Chemistry,carevue,mg/dl
787,Carbon Dioxide,Chemistry,carevue,
788,Chloride (100-112),Chemistry,carevue,
789,Cholesterol (<200),Chemistry,carevue,mg/dl
791,Creatinine (0-1.3),Chemistry,carevue,
792,Cyclosporin,Drug Level,carevue,
793,D-Dimer (0-500),Coags,carevue,
794,Differential-Atyps,Hematology,carevue,
795,Differential-Bands,Hematology,carevue,
796,Differential-Basos,Hematology,carevue,
797,Differential-Eos,Hematology,carevue,
798,Differential-Lymphs,Hematology,carevue,
799,Differential-Monos,Hematology,carevue,
800,Differential-Polys,Hematology,carevue,
801,Digoxin,Drug Level,carevue,ng
802,Dilantin,Drug Level,carevue,
803,Direct Bili (0-0.3),Chemistry,carevue,
804,Ethanol,Drug Level,carevue,
805,FK506,Drug Level,carevue,
806,Fibrinogen (150-400),Coags,carevue,
807,Fingerstick Glucose,Chemistry,carevue,
808,Gentamycin/Peak,Drug Level,carevue,
809,Gentamycin/Random,Drug Level,carevue,
810,Gentamycin/Trough,Drug Level,carevue,
811,Glucose (70-105),Chemistry,carevue,
812,HCO3,ABG,carevue,mEq/l
813,Hematocrit,Hematology,carevue,%
814,Hemoglobin,Hematology,carevue,gm/dl
815,INR (2-4 ref. range),Coags,carevue,
816,Ionized Calcium,Chemistry,carevue,
817,LDH,Enzymes,carevue,
818,Lactic Acid(0.5-2.0),Chemistry,carevue,
819,Lidocaine,Drug Level,carevue,mcg
820,Lipase,Enzymes,carevue,
821,Magnesium (1.6-2.6),Chemistry,carevue,
822,Mixed Venous O2,Blood Gases,carevue,
823,Mixed Venous O2% Sat,Blood Gases,carevue,
824,PT(11-13.5),Coags,carevue,
825,PTT(22-35),Coags,carevue,
826,Phenobarbital,Drug Level,carevue,
827,Phosphorous(2.7-4.5),Chemistry,carevue,mEq/L
828,Platelets,Hematology,carevue,
829,Potassium (3.5-5.3),Chemistry,carevue,
831,Procan,Drug level,carevue,
832,Procan Napa,Drug Level,carevue,
833,RBC,Hematology,carevue,/mic l
834,SaO2,ABG's,carevue,%
835,Sed Rate,Hematology,carevue,
