icd9_code,short_title,long_title,source
01122,TB lung cavity-exam unkn,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)",diagnose
01123,TB lung w cavit-micro dx,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy",diagnose
01124,TB lung w cavity-cult dx,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",diagnose
01125,TB lung w cavit-histo dx,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",diagnose
01126,TB lung w cavit-oth test,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",diagnose
0113,Closed brain biopsy,Closed [percutaneous] [needle] biopsy of brain,procedure
01130,TB of bronchus-unspec,"Tuberculosis of bronchus, unspecified",diagnose
01131,TB of bronchus-no exam,"Tuberculosis of bronchus, bacteriological or histological examination not done",diagnose
01132,TB of bronchus-exam unkn,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)",diagnose
01133,TB of bronchus-micro dx,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy",diagnose
01134,TB of bronchus-cult dx,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture",diagnose
01135,TB of bronchus-histo dx,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",diagnose
01136,TB of bronchus-oth test,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",diagnose
0114,Open brain biopsy,Open biopsy of brain,procedure
01140,TB lung fibrosis-unspec,"Tuberculous fibrosis of lung, unspecified",diagnose
01141,TB lung fibrosis-no exam,"Tuberculous fibrosis of lung, bacteriological or histological examination not done",diagnose
01142,TB lung fibros-exam unkn,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)",diagnose
01143,TB lung fibros-micro dx,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy",diagnose
01144,TB lung fibrosis-cult dx,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",diagnose
01145,TB lung fibros-histo dx,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",diagnose
01146,TB lung fibros-oth test,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",diagnose
0115,Skull biopsy,Biopsy of skull,procedure
01150,TB bronchiectasis-unspec,"Tuberculous bronchiectasis, unspecified",diagnose
01151,TB bronchiect-no exam,"Tuberculous bronchiectasis, bacteriological or histological examination not done",diagnose
01152,TB bronchiect-exam unkn,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)",diagnose
01153,TB bronchiect-micro dx,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy",diagnose
01154,TB bronchiect-cult dx,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",diagnose
01155,TB bronchiect-histo dx,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",diagnose
01156,TB bronchiect-oth test,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",diagnose
0116,Intracranial 02 monitor,Intracranial oxygen monitoring,procedure
01160,TB pneumonia-unspec,"Tuberculous pneumonia [any form], unspecified",diagnose
01161,TB pneumonia-no exam,"Tuberculous pneumonia [any form], bacteriological or histological examination not done",diagnose
01162,TB pneumonia-exam unkn,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)",diagnose
01163,TB pneumonia-micro dx,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy",diagnose
01164,TB pneumonia-cult dx,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",diagnose
01165,TB pneumonia-histo dx,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",diagnose
01166,TB pneumonia-oth test,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",diagnose
0117,Brain temp monitoring,Brain temperature monitoring,procedure
01170,TB pneumothorax-unspec,"Tuberculous pneumothorax, unspecified",diagnose
01171,TB pneumothorax-no exam,"Tuberculous pneumothorax, bacteriological or histological examination not done",diagnose
01172,TB pneumothorx-exam unkn,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)",diagnose
01173,TB pneumothorax-micro dx,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy",diagnose
01174,TB pneumothorax-cult dx,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",diagnose
01175,TB pneumothorax-histo dx,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",diagnose
01176,TB pneumothorax-oth test,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",diagnose
0118,Other brain dx procedure,Other diagnostic procedures on brain and cerebral meninges,procedure
01180,Pulmonary TB NEC-unspec,"Other specified pulmonary tuberculosis, unspecified",diagnose
01181,Pulmonary TB NEC-no exam,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done",diagnose
01182,Pulmon TB NEC-exam unkn,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)",diagnose
01183,Pulmon TB NEC-micro dx,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy",diagnose
01184,Pulmon TB NEC-cult dx,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",diagnose
01185,Pulmon TB NEC-histo dx,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",diagnose
01186,Pulmon TB NEC-oth test,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",diagnose
0119,Other skull dx procedure,Other diagnostic procedures on skull,procedure
01190,Pulmonary TB NOS-unspec,"Pulmonary tuberculosis, unspecified, unspecified",diagnose
01191,Pulmonary TB NOS-no exam,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done",diagnose
01192,Pulmon TB NOS-exam unkn,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)",diagnose
01193,Pulmon TB NOS-micro dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy",diagnose
01194,Pulmon TB NOS-cult dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",diagnose
01195,Pulmon TB NOS-histo dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",diagnose
01196,Pulmon TB NOS-oth test,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",diagnose
0120,Imp/repl brain pulse gen,Cranial implantation or replacement of neurostimulator pulse generator,procedure
01200,TB pleurisy-unspec,"Tuberculous pleurisy, unspecified",diagnose
01201,TB pleurisy-no exam,"Tuberculous pleurisy, bacteriological or histological examination not done",diagnose
01202,TB pleurisy-exam unkn,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)",diagnose
01203,TB pleurisy-micro dx,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy",diagnose
01204,TB pleurisy-cult dx,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",diagnose
01205,TB pleurisy-histolog dx,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",diagnose
01206,TB pleurisy-oth test,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",diagnose
0121,Cranial sinus i & d,Incision and drainage of cranial sinus,procedure
01210,TB thoracic nodes-unspec,"Tuberculosis of intrathoracic lymph nodes, unspecified",diagnose
01211,TB thorax node-no exam,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done",diagnose
01212,TB thorax node-exam unkn,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)",diagnose
01213,TB thorax node-micro dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy",diagnose
01214,TB thorax node-cult dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",diagnose
01215,TB thorax node-histo dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",diagnose
01216,TB thorax node-oth test,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",diagnose
0122,Removal brain stim lead,Removal of intracranial neurostimulator lead(s),procedure
01220,Isol tracheal tb-unspec,"Isolated tracheal or bronchial tuberculosis, unspecified",diagnose
01221,Isol tracheal tb-no exam,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done",diagnose
01222,Isol trach tb-exam unkn,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)",diagnose
01223,Isolat trach tb-micro dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy",diagnose
01224,Isol tracheal tb-cult dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",diagnose
01225,Isolat trach tb-histo dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",diagnose
01226,Isolat trach tb-oth test,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",diagnose
0123,Reopen craniotomy site,Reopening of craniotomy site,procedure
01230,TB laryngitis-unspec,"Tuberculous laryngitis, unspecified",diagnose
01231,TB laryngitis-no exam,"Tuberculous laryngitis, bacteriological or histological examination not done",diagnose
